date,symbol,log_ret,volatility_20d,volume_change,ps_ratio,pe_ratio,rev_growth_qoq,real_rate,yield_curve,unemployment_change,close,is_trading_day
2021-07-03,AMD,0.0,0.01933286866177251,-0.9999999999999692,2.7489114658925973e-08,1.7063063063063035e-07,0.0,-7.92279982052121,1.68,0.0,94.7,1.0
2021-07-04,AMD,0.0,0.019381550885175777,-0.9999999999999679,2.7489114658925973e-08,1.7063063063063035e-07,0.0,-7.92279982052121,1.68,0.0,94.7,1.0
2021-07-05,AMD,0.0,0.018850256304317713,-0.9999999999999665,2.7489114658925973e-08,1.7063063063063035e-07,0.0,-7.92279982052121,1.68,0.0,94.7,1.0
2021-07-06,AMD,-0.0024316764109896644,0.018783385231892758,0.4716813417741343,2.742235123367198e-08,1.7021621621621592e-07,0.0,-7.92279982052121,1.68,0.0,94.47,1.0
2021-07-07,AMD,-0.04249058177323041,0.018795627492933956,0.7628273386019399,2.6281567489114653e-08,1.6313513513513487e-07,0.0,-7.92279982052121,1.68,0.0,90.54,1.0
2021-07-08,AMD,-0.008875141459975396,0.01899147598877927,0.5991880030572607,2.604934687953555e-08,1.616936936936934e-07,0.0,-7.92279982052121,1.68,0.0,89.74,1.0
2021-07-09,AMD,0.012843400635596018,0.0191043640712919,0.16337024087781354,2.638606676342525e-08,1.637837837837835e-07,0.0,-7.92279982052121,1.68,0.0,90.9,1.0
2021-07-10,AMD,0.0,0.0191043640712919,-0.999999999999967,2.638606676342525e-08,1.637837837837835e-07,0.0,-7.92279982052121,1.68,0.0,90.9,1.0
2021-07-11,AMD,0.0,0.017949864283675558,-0.9999999999999645,2.638606676342525e-08,1.637837837837835e-07,0.0,-7.92279982052121,1.68,0.0,90.9,1.0
2021-07-12,AMD,-0.0009905894816961793,0.017912299300897765,0.02156348954357913,2.6359941944847597e-08,1.6362162162162134e-07,0.0,-7.92279982052121,1.68,0.0,90.81,1.0
2021-07-13,AMD,-0.006075017302881796,0.01805697889434125,0.0790396323256991,2.6200290275761968e-08,1.6263063063063035e-07,0.0,-7.92279982052121,1.68,0.0,90.26,1.0
2021-07-14,AMD,-0.0134963846631846,0.017583102105918368,0.02444787554938554,2.5849056603773578e-08,1.6045045045045016e-07,0.0,-7.92279982052121,1.68,0.0,89.05,1.0
2021-07-15,AMD,-0.024094812644697573,0.018451455854616015,0.39114586049524785,2.5233671988388966e-08,1.5663063063063038e-07,0.0,-7.92279982052121,1.68,0.0,86.93,1.0
2021-07-16,AMD,-0.012035789312839608,0.018672469112387537,0.2038750730373365,2.4931785195936133e-08,1.547567567567565e-07,0.0,-7.92279982052121,1.68,0.0,85.89,1.0
2021-07-17,AMD,0.0,0.018672469112387537,-0.9999999999999665,2.4931785195936133e-08,1.547567567567565e-07,0.0,-7.92279982052121,1.68,0.0,85.89,1.0
2021-07-18,AMD,0.0,0.018252178166436452,-0.9999999999999647,2.4931785195936133e-08,1.547567567567565e-07,0.0,-7.92279982052121,1.68,0.0,85.89,1.0
2021-07-19,AMD,0.008001434235701002,0.01714297259773454,0.40522099873704354,2.5132075471698107e-08,1.5599999999999973e-07,0.0,-7.92279982052121,1.68,0.0,86.58,1.0
2021-07-20,AMD,0.006102845816966099,0.012732517298359818,0.08887885106939632,2.528592162554426e-08,1.569549549549547e-07,0.0,-7.92279982052121,1.68,0.0,87.11,1.0
2021-07-21,AMD,0.02606084491642607,0.014342582191721477,0.20942890805048947,2.5953555878084172e-08,1.6109909909909883e-07,0.0,-7.92279982052121,1.68,0.0,89.41,1.0
2021-07-22,AMD,0.019932007444840413,0.014703679321193456,0.4361710190367952,2.6476052249637145e-08,1.6434234234234205e-07,0.0,-7.92279982052121,1.68,0.0,91.21,1.0
2021-07-23,AMD,0.010253143923765359,0.014949275884767013,0.2647357727356962,2.674891146589259e-08,1.6603603603603576e-07,0.0,-7.92279982052121,1.68,0.0,92.15,1.0
2021-07-24,AMD,0.0,0.014949275884767013,-0.9999999999999601,2.674891146589259e-08,1.6603603603603576e-07,0.0,-7.92279982052121,1.68,0.0,92.15,1.0
2021-07-25,AMD,0.0,0.014949275884767013,-0.9999999999999601,2.674891146589259e-08,1.6603603603603576e-07,0.0,-7.92279982052121,1.68,0.0,92.15,1.0
2021-07-26,AMD,-0.003587545294756445,0.014955850242929235,0.142924390847107,2.665312046444121e-08,1.6544144144144114e-07,0.0,-7.92279982052121,1.68,0.0,91.82,1.0
2021-07-27,AMD,-0.00864101630387848,0.011603332217077648,1.7654764417811266,2.642380261248185e-08,1.6401801801801773e-07,0.0,-7.92279982052121,1.68,0.0,91.03,1.0
2021-07-28,AMD,0.07306381521550571,0.01978534386642811,3.709025295728212,2.8426705370101592e-08,1.7645045045045015e-07,0.0,-7.92279982052121,1.68,0.0,97.93,1.0
2021-07-29,AMD,0.04999049574109527,0.022217121272143217,3.4995627833382654,2.988388969521044e-08,1.854954954954952e-07,0.0,-7.92279982052121,1.68,0.0,102.95,1.0
2021-07-30,AMD,0.030986508941955614,0.022832149454582656,1.9546740420994273,3.082438316400579e-08,1.91333333333333e-07,0.0,-7.92279982052121,1.68,0.0,106.19,1.0
2021-07-31,AMD,0.0,0.022832149454582656,-0.9999999999999766,3.082438316400579e-08,1.91333333333333e-07,0.0,-7.92279982052121,1.68,0.0,106.19,1.0
2021-08-01,AMD,0.0,0.022813203593606887,-0.9999999999999757,3.082438316400579e-08,1.91333333333333e-07,0.0,-7.92279982052121,1.68,0.0,106.19,1.0
2021-08-02,AMD,0.022717670029905275,0.022798484190092325,1.5484300352373994,3.153265602322205e-08,1.9572972972972938e-07,0.0,-7.92279982052121,1.68,0.0,108.63,1.0
2021-08-03,AMD,0.0355388003604741,0.02285870285402816,2.0427998507043292,3.2673439767779385e-08,2.0281081081081046e-07,0.0,-7.92279982052121,1.68,0.0,112.56,1.0
2021-08-04,AMD,0.05370243698001526,0.023062794631605335,2.6851402958766846,3.447605224963715e-08,2.1399999999999961e-07,0.0,-7.92279982052121,1.68,0.0,118.77,1.0
2021-08-05,AMD,-0.055569851154810765,0.027446580119222002,1.0807278694802058,3.261248185776487e-08,2.0243243243243208e-07,0.0,-7.92279982052121,1.68,0.0,112.35,1.0
2021-08-06,AMD,-0.020139132505838396,0.02832065033917695,0.9591152120276156,3.1962264150943386e-08,1.9839639639639605e-07,0.0,-7.92279982052121,1.68,0.0,110.11,1.0
2021-08-07,AMD,0.0,0.02832065033917695,-0.9999999999999865,3.1962264150943386e-08,1.9839639639639605e-07,0.0,-7.92279982052121,1.68,0.0,110.11,1.0
2021-08-08,AMD,0.0,0.02844261718526621,-0.999999999999986,3.1962264150943386e-08,1.9839639639639605e-07,0.0,-7.92279982052121,1.68,0.0,110.11,1.0
2021-08-09,AMD,-0.02324510928040325,0.02950133754651148,0.5255982584125406,3.1227866473149485e-08,1.9383783783783751e-07,0.0,-7.92279982052121,1.68,0.0,107.58,1.0
2021-08-10,AMD,-0.010277582758240296,0.02961476910503749,0.4117897139600542,3.090856313497822e-08,1.9185585585585553e-07,0.0,-7.92279982052121,1.68,0.0,106.48,1.0
2021-08-11,AMD,0.011206691809561424,0.029505224927237315,0.106524656317088,3.1256894049346875e-08,1.9401801801801768e-07,0.0,-7.92279982052121,1.68,0.0,107.68,1.0
2021-08-12,AMD,-0.011018880746937944,0.029812912831271625,-0.28166624007333974,3.09143686502177e-08,1.9189189189189156e-07,0.0,-7.92279982052121,1.68,0.0,106.5,1.0
2021-08-13,AMD,0.03732292215397545,0.030496394585363653,0.11675885863073199,3.208998548621189e-08,1.9918918918918885e-07,0.0,-7.92279982052121,1.68,0.0,110.55,1.0
2021-08-14,AMD,0.0,0.030496394585363653,-0.9999999999999888,3.208998548621189e-08,1.9918918918918885e-07,0.0,-7.92279982052121,1.68,0.0,110.55,1.0
2021-08-15,AMD,0.0,0.03042829900286999,-0.9999999999999887,3.208998548621189e-08,1.9918918918918885e-07,0.0,-7.92279982052121,1.68,0.0,110.55,1.0
2021-08-16,AMD,-0.028163123556164765,0.03133317478386577,-0.16785195248938928,3.1198838896952094e-08,1.9365765765765734e-07,0.0,-7.92279982052121,1.68,0.0,107.48,1.0
2021-08-17,AMD,0.00074404765337333,0.02739156484990191,-0.12753382149304443,3.122206095791001e-08,1.9380180180180146e-07,0.0,-7.92279982052121,1.68,0.0,107.56,1.0
2021-08-18,AMD,-0.03905709693706191,0.026872821327256043,-0.01620274642911414,3.0026124818577637e-08,1.8637837837837806e-07,0.0,-7.92279982052121,1.68,0.0,103.44,1.0
2021-08-19,AMD,0.00251038077187969,0.025894458968175018,-0.08788298548429431,3.010159651669085e-08,1.8684684684684652e-07,0.0,-7.92279982052121,1.68,0.0,103.7,1.0
2021-08-20,AMD,0.009119333656527033,0.025996537655251967,-0.3159070795316003,3.037735849056603e-08,1.8855855855855825e-07,0.0,-7.92279982052121,1.68,0.0,104.65,1.0
2021-08-21,AMD,0.0,0.025996537655251967,-0.9999999999999877,3.037735849056603e-08,1.8855855855855825e-07,0.0,-7.92279982052121,1.68,0.0,104.65,1.0
2021-08-22,AMD,0.0,0.025407722799677776,-0.9999999999999867,3.037735849056603e-08,1.8855855855855825e-07,0.0,-7.92279982052121,1.68,0.0,104.65,1.0
2021-08-23,AMD,0.03861411221374999,0.02565412103204159,-0.023718235014157908,3.1573294629898396e-08,1.9598198198198163e-07,0.0,-7.92279982052121,1.68,0.0,108.77,1.0
2021-08-24,AMD,-0.010350337295386819,0.02212785602767968,-0.1709002767832199,3.1248185776487655e-08,1.9396396396396365e-07,0.0,-7.92279982052121,1.68,0.0,107.65,1.0
2021-08-25,AMD,0.006019930196572734,0.018732485521007744,-0.20455355264061803,3.143686502177067e-08,1.9513513513513478e-07,0.0,-7.92279982052121,1.68,0.0,108.3,1.0
2021-08-26,AMD,-0.009556133397607124,0.01833346602672915,-0.021251837680366332,3.113788098693758e-08,1.9327927927927894e-07,0.0,-7.92279982052121,1.68,0.0,107.27,1.0
2021-08-27,AMD,0.0377783068838459,0.02031432203109207,0.09744430329380101,3.233671988388969e-08,2.0072072072072038e-07,0.0,-7.92279982052121,1.68,0.0,111.4,1.0
2021-08-28,AMD,0.0,0.02031432203109207,-0.999999999999982,3.233671988388969e-08,2.0072072072072038e-07,0.0,-7.92279982052121,1.68,0.0,111.4,1.0
2021-08-29,AMD,0.0,0.019529108369049423,-0.99999999999998,3.233671988388969e-08,2.0072072072072038e-07,0.0,-7.92279982052121,1.68,0.0,111.4,1.0
2021-08-30,AMD,-0.0007183908354937447,0.019335404386078364,0.19478773981091646,3.231349782293177e-08,2.005765765765762e-07,0.0,-7.92279982052121,1.68,0.0,111.32,1.0
