date,symbol,log_ret,volatility_20d,volume_change,ps_ratio,pe_ratio,rev_growth_qoq,real_rate,yield_curve,unemployment_change,close,is_trading_day
2021-07-03,GOOGL,0.0,0.007669632230594157,-0.9999999999989667,4.5289619264562315e-08,1.3971834913552705e-07,0.0,-7.92279982052121,1.68,0.0,2505.15,1.0
2021-07-04,GOOGL,0.0,0.0075364942725369725,-0.9999999999989041,4.5289619264562315e-08,1.3971834913552705e-07,0.0,-7.92279982052121,1.68,0.0,2505.15,1.0
2021-07-05,GOOGL,0.0,0.007202798191158769,-0.9999999999988353,4.5289619264562315e-08,1.3971834913552705e-07,0.0,-7.92279982052121,1.68,0.0,2505.15,1.0
2021-07-06,GOOGL,0.007417089253074104,0.007124245244276731,0.5372801608981793,4.5626785262320575e-08,1.407585052983826e-07,0.0,-7.92279982052121,1.68,0.0,2523.8,1.0
2021-07-07,GOOGL,0.002248045780993407,0.006992051762109947,0.40811117952912956,4.572947174313917e-08,1.4107529280535415e-07,0.0,-7.92279982052121,1.68,0.0,2529.48,1.0
2021-07-08,GOOGL,-0.011371078080977289,0.006757430466972236,0.48965198534917037,4.521242361789059e-08,1.3948020078081428e-07,0.0,-7.92279982052121,1.68,0.0,2500.88,1.0
2021-07-09,GOOGL,0.0037874827017296817,0.00675113192159578,0.10238056046991101,4.538398958672307e-08,1.400094813162298e-07,0.0,-7.92279982052121,1.68,0.0,2510.37,1.0
2021-07-10,GOOGL,0.0,0.00675113192159578,-0.9999999999988166,4.538398958672307e-08,1.400094813162298e-07,0.0,-7.92279982052121,1.68,0.0,2510.37,1.0
2021-07-11,GOOGL,0.0,0.006156547524120761,-0.9999999999987123,4.538398958672307e-08,1.400094813162298e-07,0.0,-7.92279982052121,1.68,0.0,2510.37,1.0
2021-07-12,GOOGL,0.011540996396019014,0.006532561159692275,0.1551713654113075,4.5910800159091736e-08,1.4163469046291134e-07,0.0,-7.92279982052121,1.68,0.0,2539.51,1.0
2021-07-13,GOOGL,0.0028782995449025926,0.006482209916356886,0.2580399079710146,4.6043135553386124e-08,1.4204294478527607e-07,0.0,-7.92279982052121,1.68,0.0,2546.83,1.0
2021-07-14,GOOGL,0.007007660383244684,0.00657281822018223,0.5401083461557025,4.636692338286871e-08,1.4304182933630785e-07,0.0,-7.92279982052121,1.68,0.0,2564.74,1.0
2021-07-15,GOOGL,-0.009653658628381112,0.007085194946534152,0.6254996209208468,4.5921466536500704e-08,1.416675962074735e-07,0.0,-7.92279982052121,1.68,0.0,2540.1,1.0
2021-07-16,GOOGL,-0.0002756176806500554,0.007089151907683523,0.282906346732098,4.5908811512456164e-08,1.4162855549358617e-07,0.0,-7.92279982052121,1.68,0.0,2539.4,1.0
2021-07-17,GOOGL,0.0,0.007089151907683523,-0.9999999999987438,4.5908811512456164e-08,1.4162855549358617e-07,0.0,-7.92279982052121,1.68,0.0,2539.4,1.0
2021-07-18,GOOGL,0.0,0.007091935331087499,-0.9999999999986201,4.5908811512456164e-08,1.4162855549358617e-07,0.0,-7.92279982052121,1.68,0.0,2539.4,1.0
2021-07-19,GOOGL,-0.019018812325809143,0.008455535155384535,0.8977546269817319,4.504393101204035e-08,1.3896040156162855e-07,0.0,-7.92279982052121,1.68,0.0,2491.56,1.0
2021-07-20,GOOGL,0.013011198855584605,0.00884916077628673,0.7746224067745062,4.563383591857396e-08,1.407802565532627e-07,0.0,-7.92279982052121,1.68,0.0,2524.19,1.0
2021-07-21,GOOGL,0.010557379882890905,0.009068574521157106,0.38668534279707667,4.61181617673645e-08,1.422744004461796e-07,0.0,-7.92279982052121,1.68,0.0,2550.98,1.0
2021-07-22,GOOGL,0.0068172182269301985,0.0077642655182735745,-0.0051538083931789965,4.6433633438189244e-08,1.4324762967094254e-07,0.0,-7.92279982052121,1.68,0.0,2568.43,1.0
2021-07-23,GOOGL,0.03514408109593794,0.010836275659662503,1.5229884680163441,4.809451495100698e-08,1.4837144450641384e-07,0.0,-7.92279982052121,1.68,0.0,2660.3,1.0
2021-07-24,GOOGL,0.0,0.010836275659662503,-0.9999999999987843,4.809451495100698e-08,1.4837144450641384e-07,0.0,-7.92279982052121,1.68,0.0,2660.3,1.0
2021-07-25,GOOGL,0.0,0.010836275659662503,-0.9999999999987843,4.809451495100698e-08,1.4837144450641384e-07,0.0,-7.92279982052121,1.68,0.0,2660.3,1.0
2021-07-26,GOOGL,0.0076390560583055635,0.010841145378929811,0.8350572852889313,4.8463318508876593e-08,1.4950920245398773e-07,0.0,-7.92279982052121,1.68,0.0,2680.7,1.0
2021-07-27,GOOGL,-0.016056900152271084,0.011651736399586143,2.007302576210359,4.769136204215931e-08,1.4712771890686002e-07,0.0,-7.92279982052121,1.68,0.0,2638.0,1.0
2021-07-28,GOOGL,0.031301763730921583,0.012895714449991704,3.3719567285144394,4.920779549481144e-08,1.518059118795315e-07,0.0,-7.92279982052121,1.68,0.0,2721.88,1.0
2021-07-29,GOOGL,-0.0023283068874759274,0.012979100635414033,0.34034965058741823,4.9093357920237194e-08,1.5145287228109316e-07,0.0,-7.92279982052121,1.68,0.0,2715.55,1.0
2021-07-30,GOOGL,-0.007770719018078563,0.01321701263843996,0.08360190235281362,4.8713345626785265e-08,1.5028053541550476e-07,0.0,-7.92279982052121,1.68,0.0,2694.53,1.0
2021-07-31,GOOGL,0.0,0.01321701263843996,-0.9999999999991527,4.8713345626785265e-08,1.5028053541550476e-07,0.0,-7.92279982052121,1.68,0.0,2694.53,1.0
2021-08-01,GOOGL,0.0,0.013100718390743523,-0.9999999999991197,4.8713345626785265e-08,1.5028053541550476e-07,0.0,-7.92279982052121,1.68,0.0,2694.53,1.0
2021-08-02,GOOGL,0.0009496218918914575,0.013108468000677331,-0.052732585518245605,4.875962685757675e-08,1.5042331288343558e-07,0.0,-7.92279982052121,1.68,0.0,2697.09,1.0
2021-08-03,GOOGL,0.0057341705340957965,0.013090372518577486,-0.08495026696663278,4.904002603319232e-08,1.512883435582822e-07,0.0,-7.92279982052121,1.68,0.0,2712.6,1.0
2021-08-04,GOOGL,-0.003726613744576215,0.0128585745801007,-0.12403888006185326,4.885761290089309e-08,1.5072559955382042e-07,0.0,-7.92279982052121,1.68,0.0,2702.51,1.0
2021-08-05,GOOGL,0.008298466427017698,0.012883054253555301,-0.1999348091711318,4.92647431030119e-08,1.5198159509202455e-07,0.0,-7.92279982052121,1.68,0.0,2725.03,1.0
2021-08-06,GOOGL,-0.0037722019803031748,0.012964770429983681,-0.12289636350019936,4.907925660773041e-08,1.5140936977133297e-07,0.0,-7.92279982052121,1.68,0.0,2714.77,1.0
2021-08-07,GOOGL,0.0,0.012964770429983681,-0.9999999999991438,4.907925660773041e-08,1.5140936977133297e-07,0.0,-7.92279982052121,1.68,0.0,2714.77,1.0
2021-08-08,GOOGL,0.0,0.011891643899071857,-0.9999999999990893,4.907925660773041e-08,1.5140936977133297e-07,0.0,-7.92279982052121,1.68,0.0,2714.77,1.0
2021-08-09,GOOGL,0.008615446933932285,0.011761883046294754,-0.17493829800705296,4.950392305745381e-08,1.5271946458449527e-07,0.0,-7.92279982052121,1.68,0.0,2738.26,1.0
2021-08-10,GOOGL,-0.0007745141407196474,0.011705737195586916,-0.09560320744151832,4.946559641320461e-08,1.5260122699386503e-07,0.0,-7.92279982052121,1.68,0.0,2736.14,1.0
2021-08-11,GOOGL,-0.003866918538002173,0.011790042168732593,-0.28657851196013895,4.9274686336189754e-08,1.520122699386503e-07,0.0,-7.92279982052121,1.68,0.0,2725.58,1.0
2021-08-12,GOOGL,0.006691727625124716,0.009116962589076573,-0.18503691613245404,4.9605524821925734e-08,1.530329057445622e-07,0.0,-7.92279982052121,1.68,0.0,2743.88,1.0
2021-08-13,GOOGL,0.003881112751656907,0.00912361063625445,-0.2793615668916103,4.979842354557617e-08,1.5362799776910207e-07,0.0,-7.92279982052121,1.68,0.0,2754.55,1.0
2021-08-14,GOOGL,0.0,0.00912361063625445,-0.9999999999990489,4.979842354557617e-08,1.5362799776910207e-07,0.0,-7.92279982052121,1.68,0.0,2754.55,1.0
2021-08-15,GOOGL,0.0,0.009023034071959023,-0.9999999999989743,4.979842354557617e-08,1.5362799776910207e-07,0.0,-7.92279982052121,1.68,0.0,2754.55,1.0
2021-08-16,GOOGL,0.004216832253726498,0.008049838128883442,0.2524962988537953,5.0008858516831184e-08,1.542771890686001e-07,0.0,-7.92279982052121,1.68,0.0,2766.19,1.0
2021-08-17,GOOGL,-0.011986862124907842,0.005164612056629218,0.5279261733129688,4.941298767039086e-08,1.5243892916899052e-07,0.0,-7.92279982052121,1.68,0.0,2733.23,1.0
2021-08-18,GOOGL,-0.008911879731801926,0.005531556057881242,0.4079130677673929,4.897458148027624e-08,1.5108644729503625e-07,0.0,-7.92279982052121,1.68,0.0,2708.98,1.0
2021-08-19,GOOGL,0.001703986337822164,0.0052399789896568835,0.6147885522312215,4.9058104638970244e-08,1.5134411600669268e-07,0.0,-7.92279982052121,1.68,0.0,2713.6,1.0
2021-08-20,GOOGL,0.012811886300730333,0.005932036144017234,1.0727639889905813,4.969067505513975e-08,1.5329559397657558e-07,0.0,-7.92279982052121,1.68,0.0,2748.59,1.0
2021-08-21,GOOGL,0.0,0.005932036144017234,-0.999999999998671,4.969067505513975e-08,1.5329559397657558e-07,0.0,-7.92279982052121,1.68,0.0,2748.59,1.0
2021-08-22,GOOGL,0.0,0.005936202429215939,-0.999999999998568,4.969067505513975e-08,1.5329559397657558e-07,0.0,-7.92279982052121,1.68,0.0,2748.59,1.0
2021-08-23,GOOGL,0.018827748910141037,0.007100025141588376,0.9825485504341086,5.063510142097841e-08,1.5620914668153933e-07,0.0,-7.92279982052121,1.68,0.0,2800.83,1.0
2021-08-24,GOOGL,0.008673975387192685,0.0071516143799674895,0.34439745313262315,5.1076219401959724e-08,1.5756999442275516e-07,0.0,-7.92279982052121,1.68,0.0,2825.23,1.0
2021-08-25,GOOGL,0.005770458289145756,0.007060292455269393,0.11389985604963117,5.1371804606428754e-08,1.584818739542666e-07,0.0,-7.92279982052121,1.68,0.0,2841.58,1.0
2021-08-26,GOOGL,-0.004504106979844523,0.007094114780087791,0.44762172347061707,5.1140940810644685e-08,1.5776965978806468e-07,0.0,-7.92279982052121,1.68,0.0,2828.81,1.0
2021-08-27,GOOGL,0.01796194301702476,0.007909991167827821,0.8359771837711258,5.206783092887876e-08,1.6062911321807026e-07,0.0,-7.92279982052121,1.68,0.0,2880.08,1.0
2021-08-28,GOOGL,0.0,0.007909991167827821,-0.9999999999987241,5.206783092887876e-08,1.6062911321807026e-07,0.0,-7.92279982052121,1.68,0.0,2880.08,1.0
2021-08-29,GOOGL,0.0,0.007819613163103107,-0.9999999999986475,5.206783092887876e-08,1.6062911321807026e-07,0.0,-7.92279982052121,1.68,0.0,2880.08,1.0
2021-08-30,GOOGL,0.004064532119880067,0.00778695071949825,0.6247881837882459,5.2279892974653794e-08,1.6128332403792525e-07,0.0,-7.92279982052121,1.68,0.0,2891.81,1.0
2021-08-31,GOOGL,0.0007397472752373051,0.007647282977840946,0.45835289009153535,5.2318581191018545e-08,1.6140267707752368e-07,0.0,-7.92279982052121,1.68,0.0,2893.95,1.0
2021-09-01,GOOGL,0.0035734896415876576,0.007599630541745812,0.40040682858596716,5.2505875546877826e-08,1.6198047964305634e-07,0.0,-7.92279982052121,1.68,0.0,2904.31,1.0
2021-09-02,GOOGL,-0.013369234057566196,0.008410987090858182,0.9582094328534194,5.180858372202335e-08,1.5982933630786391e-07,0.0,-7.92279982052121,1.68,0.0,2865.74,1.0
2021-09-03,GOOGL,0.0031530215842721686,0.008401492790143853,0.13342934254568115,5.197219510431355e-08,1.6033407696597882e-07,0.0,-7.92279982052121,1.68,0.0,2874.79,1.0
