date,symbol,log_ret,volatility_20d,volume_change,ps_ratio,pe_ratio,rev_growth_qoq,real_rate,yield_curve,unemployment_change,close,is_trading_day
2021-07-03,MSFT,0.0,0.007870032503233721,-0.9999999999999432,6.6573154941734996e-09,1.7962735330271072e-08,0.0,-7.92279982052121,1.68,0.0,277.65,1.0
2021-07-04,MSFT,0.0,0.007851184285881238,-0.9999999999999398,6.6573154941734996e-09,1.7962735330271072e-08,0.0,-7.92279982052121,1.68,0.0,277.65,1.0
2021-07-05,MSFT,0.0,0.007593432143328244,-0.9999999999999363,6.6573154941734996e-09,1.7962735330271072e-08,0.0,-7.92279982052121,1.68,0.0,277.65,1.0
2021-07-06,MSFT,3.601591904020132e-05,0.007443619039647376,0.9809930524733546,6.657555267827172e-09,1.7963382286342756e-08,0.0,-7.92279982052121,1.68,0.0,277.66,1.0
2021-07-07,MSFT,0.008142228307384024,0.00716097792870287,0.47974598317330147,6.711983887210473e-09,1.8110241314614737e-08,0.0,-7.92279982052121,1.68,0.0,279.93,1.0
2021-07-08,MSFT,-0.009006968578896253,0.007421806108907679,0.6314773195022727,6.651800700139069e-09,1.794785534062237e-08,0.0,-7.92279982052121,1.68,0.0,277.42,1.0
2021-07-09,MSFT,0.0018726597232918325,0.007389028311821138,0.46857862722415417,6.664268930129957e-09,1.7981497056349873e-08,0.0,-7.92279982052121,1.68,0.0,277.94,1.0
2021-07-10,MSFT,0.0,0.007389028311821138,-0.9999999999999386,6.664268930129957e-09,1.7981497056349873e-08,0.0,-7.92279982052121,1.68,0.0,277.94,1.0
2021-07-11,MSFT,0.0,0.007123133254080678,-0.999999999999933,6.664268930129957e-09,1.7981497056349873e-08,0.0,-7.92279982052121,1.68,0.0,277.94,1.0
2021-07-12,MSFT,-0.002233188984146226,0.0069429856888642534,0.29114999062276015,6.649402963602359e-09,1.7941385779905542e-08,0.0,-7.92279982052121,1.68,0.0,277.32,1.0
2021-07-13,MSFT,0.01311141834921587,0.007313691583802575,0.7421858221298594,6.737160120845922e-09,1.8178171702141424e-08,0.0,-7.92279982052121,1.68,0.0,280.98,1.0
2021-07-14,MSFT,0.005430455766576021,0.007315677384844324,0.5331354117710428,6.773845489857574e-09,1.827715598110888e-08,0.0,-7.92279982052121,1.68,0.0,282.51,1.0
2021-07-15,MSFT,-0.005252522989109908,0.007251170935691947,0.5144470898912058,6.738358989114276e-09,1.8181406482499834e-08,0.0,-7.92279982052121,1.68,0.0,281.03,1.0
2021-07-16,MSFT,-0.0009968315824189983,0.007275775005571759,0.6129801460991032,6.73164532681149e-09,1.816329171249272e-08,0.0,-7.92279982052121,1.68,0.0,280.75,1.0
2021-07-17,MSFT,0.0,0.007275775005571759,-0.9999999999999384,6.73164532681149e-09,1.816329171249272e-08,0.0,-7.92279982052121,1.68,0.0,280.75,1.0
2021-07-18,MSFT,0.0,0.006820648911355191,-0.9999999999999344,6.73164532681149e-09,1.816329171249272e-08,0.0,-7.92279982052121,1.68,0.0,280.75,1.0
2021-07-19,MSFT,-0.013410986999810052,0.007399305704307203,1.0707122583984465,6.64196998033856e-09,1.7921330141683378e-08,0.0,-7.92279982052121,1.68,0.0,277.01,1.0
2021-07-20,MSFT,0.008304471359091953,0.007539005553912981,0.6274386608615559,6.697357694336546e-09,1.8070776994242087e-08,0.0,-7.92279982052121,1.68,0.0,279.32,1.0
2021-07-21,MSFT,0.007419066702454039,0.007651275067922893,0.4750542535736873,6.7472306143001e-09,1.8205343857152096e-08,0.0,-7.92279982052121,1.68,0.0,281.4,1.0
2021-07-22,MSFT,0.0167040568578994,0.006971464410093584,0.4290763333201993,6.8608833261401235e-09,1.8512001035129713e-08,0.0,-7.92279982052121,1.68,0.0,286.14,1.0
2021-07-23,MSFT,0.012261142472745878,0.007360325478889657,0.3009239754009858,6.945523425885964e-09,1.874037652843372e-08,0.0,-7.92279982052121,1.68,0.0,289.67,1.0
2021-07-24,MSFT,0.0,0.007360325478889657,-0.9999999999999429,6.945523425885964e-09,1.874037652843372e-08,0.0,-7.92279982052121,1.68,0.0,289.67,1.0
2021-07-25,MSFT,0.0,0.007360325478889657,-0.9999999999999429,6.945523425885964e-09,1.874037652843372e-08,0.0,-7.92279982052121,1.68,0.0,289.67,1.0
2021-07-26,MSFT,-0.0021426604824486004,0.007408740390190735,0.3567550812918236,6.930657459358366e-09,1.8700265251989387e-08,0.0,-7.92279982052121,1.68,0.0,289.05,1.0
