date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures,real_gdp,real_gdp_per_capita,cpi,inflation,unemployment,federal_funds_rate,retail_sales,treasury_yield_10y
2022-01-03,298.15,307.11,297.85,301.21,30.0652705656954,39240294,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-04,302.77,304.68,283.49,292.9,29.2358080697592,52715440,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-05,289.49,294.16,275.33,276.04,27.5529274823364,49806388,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-06,276.4,284.3799,270.65,281.78,28.1258654759193,45418637,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-07,281.41,284.22,270.57,272.47,27.1965879985227,40993851,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-10,265.81,274.69,256.4384,274.0,27.3493049201571,59468095,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-11,273.225,280.65,268.39,278.17,27.7655333928471,40276508,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-12,280.665,285.95,276.08,279.99,27.9471966591051,38341348,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-13,283.79,284.8,264.98,265.75,26.5258313231086,53886809,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-14,263.0,271.969,262.1001,269.42,26.8921523050684,39583235,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-18,262.6,266.38,257.7,259.03,25.8550746476945,42267538,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-19,260.79,265.4317,250.52,250.67,25.0206214026854,48360408,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-20,253.04,255.7904,240.78,241.5,24.1053180226933,43518073,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-21,235.07,248.23,232.63,233.74,23.3307537665603,71895784,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-24,223.3,233.8,208.88,233.72,23.3287574669311,91581063,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-25,225.46,229.43,220.0,223.24,22.2826964612259,66461636,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-26,232.4,240.57,223.0,227.72,22.7298675781686,75595873,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-27,235.68,239.95,216.75,219.44,21.9033995316762,57335272,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-28,220.1215,228.58,212.96,228.4,22.7977417655617,54377425,0.0,1.0,NVDA,7643000000.0,3003000000.0,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
